id,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,X,Y
258,63,29,53,99,50,94,85,26,60,51.16,21.9,43.72,0.91,-24.22,-32.46,-8.61,3.42,-4.53,-19.84,-1.37,-4.3,-25.08,-0.95,-4.87,-19.39,-1.94,-4.58,140.03614631169984,36.007757878156625
195,79,30,55,115,51,96,109,25,59,35.4,22.19,41.2,-3.31,-25.44,-36.8,-28.94,5.27,-3.66,-22.4,-3.91,-6.61,-36.29,-2.13,-5.77,-23.32,-2.09,-4.13,139.9710012251193,35.97661635441344
406,50,30,52,82,52,90,90,25,55,59.76,20.61,41.79,15.36,-26.76,-30.71,-16.15,5.48,0.74,-18.1,-0.53,-3.63,-23.06,-1.09,-4.63,-19.14,-2.36,-4.51,140.5952722904062,35.93121007845694
295,60,27,53,97,49,93,83,25,58,56.58,24.3,43.36,6.8,-23.47,-31.85,-2.96,5.43,-1.44,-22.05,-1.67,-5.3,-25.3,-0.7,-5.11,-21.23,-2.23,-5.13,140.69699359816676,36.660272929214145
321,61,30,53,97,51,98,79,26,60,52.62,21.67,45.48,-3.41,-25.4,-37.15,-4.49,3.02,-4.98,-20.05,-1.08,-2.63,-21.12,-0.57,-3.42,-17.17,-0.84,-3.21,140.66980864781706,36.71005382127298
52,63,28,52,98,50,92,83,26,58,54.28,23.18,44.35,6.5,-24.48,-30.8,-2.27,4.45,-1.41,-22.1,-1.58,-5.35,-23.97,-0.33,-4.81,-19.99,-2.05,-4.61,140.49003405539105,36.075474951392415
81,53,47,66,107,65,107,104,27,57,58.86,3.51,29.42,-10.69,-39.99,-47.89,-31.4,2.68,-1.68,-14.94,-0.47,-2.51,-18.73,-0.53,-2.75,-13.14,-1.92,-3.85,140.21540545298004,36.044125912370106
95,68,27,51,100,46,87,77,23,54,43.73,21.07,39.75,-6.72,-21.35,-29.09,-1.87,6.36,0.74,-11.73,-1.81,-3.62,-14.88,-1.37,-4.35,-8.78,-2.34,-4.16,139.78011675983032,36.20680463020531
353,52,39,61,100,61,103,86,25,54,61.06,12.55,34.26,0.5,-35.59,-42.98,-9.44,5.97,2.61,-17.44,-0.96,-2.61,-22.25,-0.8,-3.97,-18.43,-2.61,-4.91,140.26722761150666,36.029047968683265
56,52,49,67,54,53,87,62,52,79,60.6,0.08,25.76,40.82,-28.08,-28.07,14.3,-22.3,-23.61,-19.63,-1.72,-5,-18.12,-1.28,-4.96,-16.85,-1.57,-4.05,140.36060135294503,36.144066601274865
152,62,27,49,90,46,86,82,24,55,49.97,21.2,43.67,4.47,-21.28,-27.2,-5.54,5.43,-0.05,-21.31,-2.03,-5.75,-12.54,-0.73,-3.09,-14.55,-1.76,-3.87,139.92438291880916,36.29480736192132
36,61,77,108,83,69,103,93,24,55,52.95,-25.29,-10.87,17.17,-43.39,-41.79,-14.73,6.75,1.92,-20.65,-2.35,-6.66,-20.22,-1.02,-5.55,-20.42,-2.64,-5.72,140.48827765568006,36.30038722353714
423,44,39,59,109,57,104,96,25,54,74.04,13.92,40.47,-12.03,-32.08,-44.67,-16.7,4.17,1.12,-23.23,0.43,-1.55,-20.38,-0.44,-2.85,-21.19,-1.13,-3.99,140.35335557863414,36.17433304215576
255,61,65,88,87,85,124,106,71,110,51.12,-14.22,9.67,7.22,-58.5,-61.09,-32.05,-41.84,-54.52,-18.33,-0.3,-2.58,-19.27,-0.82,-4.3,-15.98,-0.43,-3.28,140.29611379615022,36.879624576779364
121,60,28,48,102,45,86,80,24,53,53.88,18.75,41.97,-10.94,-20.8,-29.54,-3.19,4.36,0.52,-15.47,-1.13,-3.15,-13.56,-1.02,-3.55,-16.54,-2.34,-4.27,140.45799975074752,36.19358574896798
335,55,38,61,90,57,96,85,24,56,58.51,14.04,34.28,12.44,-31.59,-35.83,-7.07,7.21,0.99,-18.19,-1.84,-3.91,-23.8,-0.84,-4.33,-18.8,-2.54,-4.98,140.14934052912216,36.221688160416946
91,67,31,55,102,47,89,81,23,56,36.04,16.24,34,-21.83,-23.89,-34.25,-13.77,5.9,-2.28,-8.26,0.54,-1.29,-3.51,0.51,-0.59,-6.17,-0.81,-2.1,140.51468577290927,36.47798847321022
413,65,53,74,108,72,116,98,31,62,51.51,-0.12,25.64,-12.28,-47.02,-56.43,-20.08,-2.03,-7.14,-22.82,-0.02,-2.85,-21.02,-0.53,-3.21,-20.91,-1.17,-3.85,140.2282142952628,36.21346930293626
496,60,26,49,100,55,98,70,22,52,59.18,28.71,53.06,0.11,-29.88,-37.85,11.12,7.22,3.27,-24.04,0.98,-2.17,-21.52,-0.91,-3.92,-23.26,-1.94,-4.69,140.53564049470484,36.432076796957304
319,79,29,53,106,51,96,93,25,60,33.89,21.71,43.9,-13.02,-25.64,-35.79,-20.14,3.8,-5.29,-17.9,-0.46,-2.47,-18.64,-0.5,-2.99,-14.82,-0.83,-3.03,140.49965304106047,35.96747672747795
253,52,28,53,100,48,88,59,23,50,61.43,23.58,44.48,-0.47,-22.34,-26.7,18.43,7.68,6.86,-19.81,-2.4,-7.27,-19.56,-1.11,-5.66,-19.5,-2.74,-5.81,140.0691238785494,35.92140212307064
364,55,52,68,81,69,100,87,25,54,59.61,-3.73,22.65,14.64,-44.14,-41.7,-11.45,4.28,0.5,-20.13,0.04,-2.56,-18.73,-1.08,-3.9,-15.01,-0.89,-2.68,140.48373632074228,36.136506645909094
217,40,38,56,97,60,101,66,29,60,72.39,12.85,41.51,0.16,-33.78,-38.32,8.39,-0.01,-4.89,-18.47,-1.54,-6.36,-25.25,-1.36,-5.89,-18.89,-1.68,-4.09,140.5540737674103,36.41180458168878
172,71,29,55,109,47,93,102,25,58,37.6,19,37.6,-6.44,-22,-34.2,-31.39,4.2,-3.4,-17.16,0.25,-5.07,-23.18,-1.03,-4.48,-12.95,-0.73,-3.06,140.38040683040518,36.352961164697795
272,74,27,51,106,46,90,89,25,58,39.07,23.03,43.52,-9.27,-20.74,-30.01,-12.23,5.22,-1.9,-20.16,-2.66,-6.35,-13.86,-0.63,-4.25,-15.68,-2.59,-5.45,140.2753756073772,36.64298236388691
372,50,27,51,94,50,96,67,24,56,60.03,24.64,47.39,-5.19,-25,-36.52,5.18,4.55,-1.88,-21.23,-1.06,-5.39,-21.04,-0.86,-3.93,-20,-1.73,-3.66,140.6077301793743,36.49197655597918
430,53,27,50,96,53,96,68,23,53,65.62,25.94,49.7,1.54,-28.04,-36.6,11.87,6.25,2.25,-23.7,0.6,-1.5,-20.62,-0.45,-2.88,-21.61,-1.11,-4.08,140.22858232118062,36.37027708685177
438,69,63,84,108,75,112,130,34,72,46.75,-10.83,14.43,-7.79,-49.87,-52.1,-52.11,-4.23,-16.54,-22.29,-0.96,-4.23,-24.74,-1.04,-4.77,-21.29,-1.9,-4.54,140.23184002753592,35.95466597367977
197,80,29,55,116,50,95,102,25,59,34.08,21.8,40.86,-14.76,-24.92,-35.71,-24.53,4,-4.19,-21.98,-2.12,-6.03,-26.08,-1.67,-5.82,-20.91,-0.9,-3.7,140.3510723473066,36.604014577452475
516,49,25,50,92,54,100,60,23,52,69.77,29.04,51.22,7.87,-28.9,-39.95,20.67,6.23,3.24,-23.82,1.78,-1.04,-31.74,-1.77,-6.19,-27.16,-2.84,-5.1,140.58585917710505,36.70180726399859
363,47,28,51,100,52,99,66,24,54,67.72,24.47,48.45,-5.73,-26.79,-39.01,8.84,5.12,0.9,-19.2,-1.61,-4.57,-18.61,-0.61,-3.25,-16.45,-1.23,-3.46,140.44806130129172,36.05399736875927
332,53,41,62,106,62,105,80,27,57,60.5,10.74,36.52,-12.72,-36.54,-44.49,-5.64,1.98,-2.08,-19.24,-0.68,-1.89,-20.41,-0.45,-3.17,-15.78,-0.62,-2.92,140.62900852341363,36.698758357007456
501,72,28,54,107,50,91,92,24,55,40.54,21.66,40.01,-7.05,-25.31,-32.04,-16.3,5.16,-0.35,-20.64,-1.32,-4.61,-24.22,-1.12,-5.4,-18.87,-0.82,-3.42,140.29374723523398,36.157859267964064
204,83,28,54,117,51,96,105,27,64,37.09,23.43,44.29,-13.74,-24.47,-32.18,-21.78,1.66,-9.18,-26.14,-1.87,-5.87,-34.63,-1.83,-7.97,-29.34,-2,-5.03,140.47703617837303,36.40208785405228
445,43,41,59,93,56,97,93,25,55,67.82,9.14,35.26,5.02,-30.98,-37.77,-18.79,4.7,0.02,-19.5,-0.7,-3.73,-23.05,-1.12,-5.16,-19.28,-0.66,-3.27,140.73133632093638,35.85578583207365
14,63,28,52,93,51,93,84,25,59,52.49,24.04,46.33,10,-24.96,-30.64,-4.09,5.51,-2.14,-22.89,-1.26,-4.81,-20.77,-0.89,-5.11,-20.06,-3.51,-6.6,140.098249108636,36.119531176369115
206,77,29,52,103,51,93,87,27,59,37.41,21.81,45.28,-5.06,-25.05,-31.18,-9.42,4.8,-1.07,-16.86,-2.31,-6.72,-20.25,-1.77,-6.29,-23,-6.11,-8.57,140.6918938399114,36.811320167067024
169,54,46,73,107,61,107,97,25,52,64.83,7.09,26.61,-5.23,-35.99,-47.02,-16.52,4.26,3.15,-24.22,0.27,-2.29,-25.15,-0.87,-4.29,-23.19,-1.56,-4.28,140.3860150037095,36.10785894392268
419,39,24,47,80,47,89,55,22,52,73.37,27.05,48.61,19.42,-21.86,-29.44,20.56,8.23,3.62,-20.36,-0.85,-4.49,-25.63,-1.06,-4.88,-20.96,-2.42,-4.62,140.01004295974707,36.35505558400544
459,57,60,86,87,59,96,103,27,57,56.44,-12.07,6.96,8.86,-34.34,-36.9,-24.91,2.3,-1.91,-23.49,-1.62,-6.5,-21.67,-1.39,-5.7,-20.53,-1.2,-3.72,140.49501372463862,36.60992057978998
324,35,32,53,95,55,98,70,24,51,78.37,18.87,42.67,4.82,-29.78,-38.17,5.26,6.04,4.84,-12.68,-0.97,-1.91,-17.8,-0.7,-3.07,-12.39,-1.95,-3.89,140.11244514715082,36.08403357081019
189,62,28,51,96,46,89,87,24,56,45.26,19.6,39.9,-0.36,-21.47,-30.92,-14.43,5.45,-1.11,-12.49,-0.84,-3.09,-4.75,-0.13,-2.29,-11.45,-1.57,-4.16,140.09334506103357,36.004162096844134
82,61,67,90,93,92,131,85,56,96,52.6,-15.13,8.69,0.39,-66.51,-70.45,-10.4,-26.99,-41.04,-20,-0.72,-2.33,-20.65,-0.46,-3.13,-16.9,-0.73,-3.04,140.12313130751662,35.97432711283972
411,52,46,66,89,59,96,97,26,58,55.68,6.02,27.86,6.08,-33.59,-36.8,-23.63,4.31,-2.82,-14.58,-1.45,-2.54,-16.31,-0.91,-3.62,-15.81,-0.69,-2.82,140.6199202638493,36.016638362556826
120,54,27,51,87,53,91,72,25,55,57.61,23.97,43.95,12.4,-27.69,-31.23,3.35,5.42,0.91,-19.67,0.45,-4.2,-27.26,-0.23,-5.13,-18.94,-2.92,-5.16,139.81094626879573,36.21170120881157
46,54,48,67,115,59,105,118,28,62,59.86,2.61,30.47,-19.76,-33.06,-43.07,-43.23,0.92,-6.95,-17.12,-0.03,-0.29,-19.08,-0.62,-3.35,-15.45,-0.57,-2.67,140.0878545110407,36.16344172298743
80,56,46,66,115,61,106,101,27,57,57.12,5.15,31.51,-21.93,-35.63,-45.83,-27.83,1.93,-2.18,-17.92,-0.96,-3.2,-18.52,-0.72,-3.33,-15.31,-1.14,-3.41,140.6360273699136,35.961195061481064
431,40,25,50,85,51,93,56,23,51,78.74,29.29,52.31,14.86,-25.58,-32.35,23.75,7.03,4.94,-24.58,-1.98,-6.83,-24.46,-1.24,-4.99,-22.94,-2.49,-5.26,140.46955008782876,36.554308783872436
327,53,61,81,91,67,109,73,45,76,59.26,-10.43,15.39,1.15,-41.79,-49.34,-1.1,-16.24,-21.42,-17.06,-0.45,-2.56,-17.5,-0.61,-2.94,-14.17,-1.03,-3.2,140.2721641362168,35.89333664374407
469,56,31,54,96,55,99,70,23,53,62.44,22.59,46.51,4.61,-29.91,-38.96,10.09,6.36,2.26,-24.15,-0.35,-3.22,-24.26,-0.92,-4.28,-22.99,-1.64,-4.4,140.13813611477124,36.101323812698496
127,65,28,51,99,49,88,78,24,54,45.08,22.3,41.8,-4.87,-23.87,-29.23,-3.3,5.73,0.85,-13.94,-2.43,-4.5,-14.84,-1.29,-4.59,-13.26,-1.71,-3.74,140.6024816015177,36.79084281486248
416,45,40,59,98,55,99,85,26,57,69.52,12.51,39.38,2.46,-29.63,-38.87,-7.9,4.52,-0.97,-20.12,-1.93,-5.19,-23.99,-1.03,-4.6,-20.01,-2.46,-4.7,140.25340902265054,36.14639713269302
76,57,54,70,79,74,101,94,26,56,55.34,-5.6,21.35,15.23,-49.23,-42.72,-17.69,3.63,-0.94,-21.1,-0.3,-4.11,-19.65,-1.11,-4.4,-17.92,-0.46,-2.75,140.5991602694635,36.7061948033396
108,45,27,49,84,49,94,60,24,55,65.81,24.74,49.47,6.34,-23.89,-34.36,13.07,4.73,-0.59,-26.97,-2.31,-5.66,-28.97,-1.42,-5.21,-26.09,-2.34,-4.84,139.72140612992283,36.183273512967986
429,72,67,84,97,70,104,99,30,63,40.65,-19.16,7.5,-2.92,-45.39,-45.75,-22.33,-0.83,-8.38,-23.26,-1.61,-5.93,-21.48,-1.49,-5.2,-19.78,-1.21,-3.28,140.60673261303756,36.018090824917756
66,82,30,56,118,49,94,105,26,63,36.99,20.9,40.3,-15.88,-23.41,-32.41,-23.97,3.9,-6.65,-24.65,-0.95,-6.21,-22.79,-1.07,-6,-21.83,-1.07,-4.27,139.96585511730063,36.20491915862946
254,79,27,54,115,49,95,95,25,59,34.44,24.54,43.21,-15.41,-23.36,-33.79,-17.52,5.7,-2.13,-19.97,-2.34,-7.05,-19.63,-1.1,-5.6,-19.59,-2.68,-5.76,140.77463297268423,36.853919485766525
57,44,37,59,94,59,100,88,24,53,71.57,14.27,37.03,8.39,-33.57,-39.26,-8.76,6.48,3.51,-20.89,-1.61,-4.59,-24.65,-0.79,-4.8,-20.83,-2.45,-5.22,140.0750753812395,36.25499571880118
222,47,26,49,85,50,91,70,23,52,67.88,26.06,49.97,16.87,-23.97,-28.62,9.23,7.69,5.07,-21.14,-2.08,-5.84,-22.43,-1.07,-5.8,-21.63,-3.56,-6.7,139.74229083331272,36.11354262747279
397,74,34,56,104,57,96,115,28,63,32.22,19.97,38.94,-8.61,-31.07,-35.91,-42.15,2.79,-7.72,-12.23,-1.47,-0.13,-15.57,-0.77,-3.3,-14.59,1.2,-1.49,140.28537418182842,36.558532856274915
334,107,67,92,141,67,113,111,46,82,4.95,-13.33,3.18,-37.71,-41.69,-53.29,-34.22,-14.19,-24.44,-17.42,-3.84,-5.03,-24.29,-0.86,-4.23,-17.76,-3.01,-5.61,140.57697930140694,35.984575052154604
444,51,26,48,90,46,86,61,21,50,58.79,23.1,44.46,5.43,-21.03,-27.3,13.33,8.52,4.8,-18.88,-0.78,-4.29,-17.86,-1.03,-4.21,-17.26,-1.12,-3.29,140.38675797537653,36.64423318509154
156,63,29,52,97,55,101,79,24,58,55.96,24.94,49.71,1.09,-29.88,-40.69,1.18,4.9,-3.05,-21.48,0.56,-1.71,-17.89,-0.45,-2.56,-20.45,-0.54,-3.5,140.56444947958173,36.6052154677708
47,60,62,85,101,73,115,96,37,73,52.89,-11.6,10.43,-2.35,-47.73,-54.87,-21.37,-7.74,-17.87,-17.73,-0.76,-3.36,-23.32,-0.69,-3.76,-17.22,-1.81,-4.13,140.2298069061184,35.9407401088269
128,79,27,53,115,47,92,89,24,57,34.07,19.5,36.89,-28.43,-23.27,-36.37,-13.44,3.24,-4.74,-18.88,0.11,-3.07,-11.07,-0.6,-2.42,-15.76,-0.24,-1.52,139.96788122701264,36.02609751936914
455,35,29,51,74,52,89,60,22,49,74.9,20.49,42.5,23.79,-27.12,-30.07,13.72,7.48,5.8,-18.67,-0.46,-4.44,-21.26,-0.95,-4.79,-17.65,-0.72,-3.14,140.19588360269398,36.266018452726804
305,56,63,90,85,87,127,68,51,84,54.06,-13.69,4.16,5.48,-62.22,-68.65,0.92,-22.8,-30.11,-15.67,0.57,-1.82,-16.45,-0.28,-1.99,-11.99,-0.65,-2.61,139.78203367128074,36.10725071306602
224,68,29,54,112,48,94,89,25,56,48.57,22.75,43.9,-8.56,-22.01,-31.55,-8.86,4.84,0.05,-22.65,-1.79,-4.73,-27.02,-0.99,-5.82,-23.26,-2.29,-5.41,140.4840717589782,36.15641104119328
28,50,51,73,78,61,98,89,25,55,63.42,0.86,26.07,21.02,-35.17,-36.07,-11.53,5.7,2.03,-19.05,-2.81,-8.65,-19.11,-1.28,-6.17,-19.51,-3.16,-6.28,139.8862042890317,36.24834330333914
212,59,64,83,94,82,119,112,36,70,54.67,-12.05,17.15,4.66,-55.85,-56.2,-34.54,-5.47,-12.91,-18.4,-2.78,-9.06,-20.08,-1.56,-6.82,-21.01,-3.72,-6.91,140.48996036554232,36.4318597475293
131,47,25,48,86,46,88,60,21,50,64.01,25.77,46.48,12.39,-20.75,-28.49,14.59,9.36,5.74,-23.82,-4.02,-6.88,-36.72,-3.27,-8.51,-27.68,-5.22,-7.36,140.71834695921626,35.90183877393336
85,79,30,55,111,49,94,92,24,59,30.42,19.4,38.67,-17.98,-23.88,-34.21,-15.68,6.22,-2.75,-14.18,-1.46,-5.8,-16.22,-1.41,-5.43,-15.41,-2.38,-4.89,140.136919129642,36.266247474168544
153,57,42,61,107,66,106,101,25,54,62.14,11.83,39.99,-7.93,-40.9,-46.09,-20.14,4.31,1.38,-24.06,0.61,-2.21,-20.79,-0.5,-3.23,-22.28,-0.88,-4.12,140.40066756138367,36.02544784424842
443,49,36,61,87,51,90,65,22,50,61.15,12.94,31.39,8.41,-26.06,-31.31,9.61,7.49,4.8,-19.39,-0.74,-4.41,-18.12,-1.05,-4.26,-17.55,-1.12,-3.29,140.34839962890877,36.57518867184084
126,81,33,56,109,55,95,100,26,61,25.86,22.99,40,-9.52,-27.78,-33.04,-24.53,6.13,-5.33,-12.49,-0.85,2.86,-17.39,-1.27,-3.74,-17.28,2.12,-0.14,140.02677158336698,35.927135241398894
387,48,25,49,93,50,94,67,24,53,69.83,29.74,54.66,4.36,-24.37,-33,10.01,6.23,3.04,-22.25,-3.88,-8.38,-20.58,-1.2,-4.84,-18.58,-2.49,-4.93,140.37915585563232,36.20948989075363
170,58,30,52,91,50,90,68,23,53,55.28,19.94,42.55,8.99,-25.21,-30.79,8.27,6.39,1.89,-22.52,-0.27,-4.55,-33.18,-1.63,-7.13,-19.05,-0.53,-3.21,140.53509289166954,36.05079595076216
19,74,29,55,114,52,101,94,28,65,38.43,23.43,46.57,-19.59,-25.44,-37,-19.66,0.49,-9.11,-17.91,-3.04,-10.05,-15.37,-1.86,-7.9,-17.2,-1.27,-5.42,140.56871738835795,36.63607961033551
124,72,30,55,99,49,92,89,23,57,28.4,19.5,36.63,-8.66,-24.23,-34.49,-27.7,7.03,-2.78,-6.65,1.35,-0.08,-12.15,-0.09,-1.59,-2.95,0.61,-1.48,140.62352642801122,36.440873694852655
77,63,53,74,98,77,113,77,39,68,51.01,-1.64,21.35,3.4,-51.68,-52.8,0.55,-8.36,-11.49,-17.77,-1.08,-3.27,-22.03,-0.7,-4.09,-17.92,-2.13,-4.52,140.5840845079877,36.56141369574552
211,81,27,52,112,51,94,95,26,60,33.48,24.02,45.57,-12.84,-24.82,-31.35,-18.31,3.06,-4.71,-20.9,-1.64,-5.95,-27.18,-1.32,-5.96,-21.38,-1.73,-4.47,140.47508036106308,36.36227734100309
225,55,36,56,86,57,95,92,27,57,59.28,15.23,41.75,12.74,-31.12,-33.18,-13.92,4.18,0.45,-19.38,-2.67,-7.67,-20.38,-1.63,-6.53,-21.17,-4.17,-6.88,140.4817812302951,36.61736455927333
314,66,66,84,94,79,116,110,38,77,47.37,-15.3,13.16,-0.35,-53.52,-55.35,-36.46,-9.17,-22.21,-18.47,-0.3,-2.42,-19.5,-0.5,-3.2,-15.56,-0.73,-3.01,140.20340965307594,36.232017317439535
294,60,41,63,87,61,99,96,25,58,55.93,13.19,34.46,19.83,-35.25,-37.57,-14,6.3,-0.72,-21.26,-3.88,-6.51,-26.07,-0.85,-5.15,-22.4,-2.48,-5.17,140.47451029981033,36.47652839515377
150,59,28,53,95,49,91,77,23,54,53.27,22.12,41.73,3.5,-24.11,-31.56,-1.79,6.62,1.01,-17.2,-1.35,-3.23,-20.21,-1.25,-6.04,-19.1,1.25,-1.43,139.96204439194207,36.01714939130848
390,43,26,47,81,48,91,50,22,49,74.81,29.25,57.55,17.92,-22.3,-29.76,26.42,8.86,7.52,-20.72,-4.55,-8.48,-19.77,-1.02,-4.43,-16.05,-2.79,-5.15,140.28029546953022,36.89576742099466
141,80,28,54,115,52,95,93,24,58,35.9,23.96,42.79,-22.48,-28.24,-38.08,-14.27,3.82,-4.44,-20.87,1.88,1.84,-15.21,0.83,-0.26,-20.32,0.55,-2.29,140.22174184605146,36.06348627577724
116,52,26,48,97,50,95,85,25,58,59.92,25.56,47.64,2.14,-24.66,-35.15,-9.91,5.63,-1.92,-17.13,-0.57,-0.84,-14.69,0.24,-1.69,-21.44,-2.83,-6.45,140.27432922930402,36.800977573851824
361,51,27,51,90,51,95,64,24,54,61.7,25,47.78,2.42,-25.73,-35.02,10.16,4.98,0.8,-18.19,-0.99,-4.1,-18.1,-0.67,-3.2,-16.21,-1.18,-3.31,140.25020383443575,36.50821769783659
285,51,47,68,92,75,115,99,32,68,61.09,3.22,27.16,5.21,-49.79,-55.32,-25.87,-2.66,-12.89,-17.21,-0.5,-3.01,-22.41,-0.62,-3.28,-15.88,-1.84,-4.02,140.13521203572822,36.07928924827713
256,67,32,56,102,55,99,96,28,62,45.58,18.7,41.57,-7.05,-28.82,-36.52,-22.38,0.91,-6.93,-15.75,-0.42,-1.83,-15.43,-0.36,-3.23,-12.77,-0.18,-2.61,140.5242430657603,36.20278488726455
378,66,67,106,94,61,93,47,23,49,43.5,-16.9,-12.88,1.53,-35.83,-34.06,27.47,7.34,6.76,-16.42,0.1,-2.22,-19.01,-0.75,-3.64,-17.55,-1.09,-3.94,140.23782236281346,36.186679274464964
184,82,30,56,113,48,94,98,24,60,29.68,18.15,38.23,-17.56,-23.01,-33.02,-20.34,6.01,-3.83,-17.85,-0.83,-6.74,-15.41,-1.11,-6.7,-17.78,-2.53,-5.31,140.34186548362683,36.729587243885454
40,40,38,59,114,55,105,87,26,58,72.56,12.78,38.64,-19.42,-28.75,-42.52,-13.05,3.04,-2.75,-17.76,-0.34,-2.13,-18.94,-0.7,-3.92,-15.38,-0.48,-3.04,140.2927369233229,35.91709803490674
480,80,29,55,115,48,96,99,26,62,34.04,19.5,39.33,-18.36,-23.05,-35.68,-19.57,3.67,-6.18,-22.27,-2.08,-6.32,-20.57,-1.46,-6.31,-20.4,-1.65,-4.71,140.33863333671601,35.88819863256905
227,48,40,60,108,58,105,95,28,61,61.09,10.87,37.75,-14.22,-31.42,-41.48,-26.87,0.64,-6.41,-14.84,-0.73,-3.3,-18.61,-0.97,-5.15,-10.2,-0.11,-2.66,139.87100088454116,36.074433662468074
271,52,25,49,94,47,89,68,22,52,64.11,26.53,49.11,10.02,-20.98,-26.21,12.35,7.74,4,-21.5,-1.86,-6.24,-27.82,-1.38,-6.63,-23.17,-2.29,-5.06,140.1305140418032,36.078065566463316
101,63,68,87,115,75,120,92,42,76,51.09,-16.18,10.95,-17.15,-49.64,-59.83,-16.63,-11.81,-20.05,-16.8,-1.61,-3.96,-19.47,-0.89,-3.82,-15.76,-2.4,-4.61,140.36127810014833,36.84159239166507
39,54,57,78,77,69,100,97,26,56,59.42,-6.75,16.98,20.55,-43.64,-39.73,-19.71,4.32,0.25,-20.22,-2.26,-6.65,-16.47,-0.87,-4.77,-17.49,-2.54,-5.28,140.27930277902814,36.85462010813549
474,57,32,55,95,52,91,87,23,54,55.41,17.79,39.21,4.16,-27.22,-31.79,-11.56,6.41,0.86,-20.87,-0.93,-3.97,-25.57,-1.23,-5.78,-19.69,-0.76,-3.55,140.41456486443948,36.487406987617504
318,56,57,76,93,72,106,97,25,54,58.26,-5.81,19.56,8.1,-46.68,-45.71,-19.48,5.45,2.34,-18.02,-0.78,-3.08,-21.3,-0.6,-3.95,-18.04,-2.06,-4.4,140.04633607003692,36.275226618956616
51,51,31,55,80,52,90,82,25,56,61.3,19.77,39.83,18.77,-26.64,-29.83,-5.14,5.55,0.5,-30.77,1.99,-4.54,-18.81,-0.66,-5.85,-27.83,0.87,-1.31,140.25070794440808,36.53798490313357
5,85,28,56,120,52,98,101,27,65,35.14,23.43,42.29,-16.58,-25.43,-34.14,-17.45,1.58,-10.28,-26.18,-1.89,-5.89,-34.92,-1.89,-8.05,-29.72,-1.94,-4.94,140.444224202901,36.400774330896205
86,55,50,66,106,63,100,114,26,59,58.34,1.44,29.11,-4.81,-37.62,-39.86,-36.84,4.73,-2.55,-18.13,-0.9,-2.73,-22.85,-0.77,-4.14,-19.04,-2.3,-4.61,140.3740501629569,36.718082215332664
405,48,26,50,89,51,95,60,23,54,68.72,26.98,49.88,6.99,-25.92,-35.26,17.74,6.24,1.11,-23.01,-0.39,-3.31,-21.36,-0.68,-3.52,-20.71,-1.44,-4.11,140.30110553912542,36.75043570212412
