id,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,label,X,Y
454,54,28,51,93,56,100,80,24,55,64.88,26.03,50.29,6.74,-30.83,-39.83,0.47,5.5,0.47,-24.52,-0.83,-3.99,-23.22,-0.94,-4.3,-23.22,-1.69,-4.55,s,140.26939714328097,36.897563753416435
457,54,29,51,88,51,91,95,24,55,56.28,20.62,42.67,10.16,-26.12,-32.05,-21.37,5.39,-0.3,-19.03,-0.54,-4.09,-22.24,-1.01,-4.93,-17.81,-0.53,-2.98,s,140.24642376713084,36.40343775257779
261,59,30,52,90,54,93,80,26,58,56.58,21.37,45.45,12.77,-28.17,-30.94,-1.3,3.64,-2.27,-21.04,-1.86,-5.61,-27.73,-1.15,-5.74,-21.81,-2.39,-5.07,s,140.080861666011,35.9068906672446
8,53,27,49,95,49,92,63,25,54,66.97,24.43,49.28,8.08,-22.53,-28.25,19.78,3.75,0.92,-25.65,-2.09,-5.95,-39.27,-2.13,-8.73,-30.73,-2.42,-5.58,s,140.26625616995213,36.58526849562473
478,58,40,65,100,58,100,106,26,57,51.79,8.74,28.06,-1,-33.12,-41.04,-32.17,3.48,-2.08,-18.31,-0.2,-4.85,-21.15,-1,-4.84,-17,-0.91,-3.38,d,140.15153242019338,36.06236323064183
366,50,29,53,84,49,91,83,24,56,62.09,22.07,41.4,16.25,-23.65,-31.11,-6.32,6.87,0.48,-17.48,-0.71,-2.54,-22.6,-0.8,-4.17,-19.46,-2.57,-4.99,s,140.55176777459934,36.44256847193959
303,69,28,52,106,51,94,88,25,58,45.27,23.03,44.04,-4.95,-25.61,-33.58,-11.26,4.97,-2.15,-17.5,-1.32,-3.44,-23.91,-0.87,-4.15,-17.93,-2.33,-4.63,s,140.16596549132123,35.98338140439782
199,67,28,51,99,50,97,82,26,59,47.93,23.77,47.98,1.76,-23.88,-34.41,-2.89,4.32,-2.25,-20.13,-2.11,-6.35,-21.94,-1.22,-6.13,-22.2,-3.41,-6.57,s,140.50121314580971,36.018411622720144
220,31,26,47,90,52,94,53,22,48,86.08,25.75,51.01,13.74,-25.95,-31.4,27.52,8.09,8.28,-24.26,-1.74,-4.66,-28.43,-0.98,-5.94,-24.63,-2.51,-5.83,d,139.76615168508496,36.122773580144354
93,105,160,196,131,65,109,96,40,75,7.66,-112.6,-106.12,-38.71,-40.47,-51.39,-19.3,-10.79,-20.43,-25.7,0.7,-3.87,-22.34,-1.05,-4.52,-20.14,2.24,-0.53,o,139.976885298141,36.27353356070058
461,67,29,53,103,51,96,86,25,55,50.66,23.52,45.89,-1.2,-25.94,-36.02,-6.31,4.5,0.32,-23.96,-0.68,-4.19,-26.91,-1.04,-4.91,-23.21,-1.76,-4.51,h,140.41588704168345,35.916346868184384
37,82,29,54,111,51,97,107,26,63,34.5,22.56,44.5,-3.92,-24.34,-32.79,-24.15,3.4,-6.89,-22.53,-1.87,-6.47,-31.02,-1.97,-8.14,-26.03,-1.92,-5.32,h,140.68563292999633,36.7408843312417
452,52,41,64,93,53,94,80,23,53,59.81,9.08,30.49,5.44,-28.09,-34.74,-4.97,6.6,1.99,-20.02,-0.64,-3.47,-23.14,-1.06,-5.31,-19.88,-0.18,-3.01,d,140.32090925525773,36.55854641066875
247,50,25,48,96,48,92,63,23,52,66.25,26.7,50.06,8.3,-21.95,-29.29,17.55,6.9,4.17,-22.28,-1.86,-5.51,-27.77,-1.22,-6.39,-23.58,-2.38,-5.4,s,140.23351569181577,36.05143886988356
135,40,25,47,81,49,87,74,24,55,69.79,24.89,45.49,13.05,-23.97,-28.46,0.32,5.44,-0.46,-28.43,-1.28,-5.49,-25.56,-1.42,-5.88,-27.55,-2.63,-5.26,s,140.22051450976727,36.04347695852946
520,49,26,48,107,59,104,62,22,53,69.86,27.76,52.66,-5.12,-33.88,-44,19.16,7.36,2.32,-23.48,1.44,-1.59,-26.98,-1.36,-4.81,-24.5,-2.53,-4.97,s,140.3110376579369,36.65350838712998
449,44,38,60,96,60,105,79,25,52,74.99,15.91,41.11,3.3,-34.86,-44.98,1.63,4.42,3.45,-24.43,0,-2.81,-22.21,-0.78,-3.77,-22.94,-1.49,-4.49,d,140.1952537205249,35.85827228015258
59,85,30,56,118,50,96,106,26,60,33.5,20.5,40.5,-11.9,-24.5,-34.9,-21.75,4.41,-2.73,-23.99,-0.42,-5.54,-27.39,-0.92,-5.39,-25.36,-1.81,-5.29,h,140.05829370557913,35.97906385505339
111,51,53,72,88,74,111,64,39,67,61.26,-1.41,23.57,11.49,-48.59,-51.07,11.6,-8.03,-10.57,-17.89,-0.82,-1.82,-21.4,-0.66,-3.75,-19.55,-3.05,-5.48,d,140.62985846857836,36.767976907641675
174,59,29,52,94,57,102,93,26,58,60.47,26.35,50.82,6.11,-31.85,-41.75,-11.48,3.21,-2.7,-26.15,2.23,-1.82,-13.57,0.04,-2.06,-21.93,-1.31,-4.4,s,140.22035083744845,36.47853302225267
193,55,61,90,75,55,91,84,24,54,57.14,-13.14,2.87,20.93,-30.36,-31.88,-6.73,5.47,1.28,-20.84,-1.47,-5.72,-18.73,-1.18,-5.22,-17.81,-1.28,-3.87,d,140.58736155453045,36.754253254455456
439,60,69,95,109,67,109,98,31,66,50.8,-20.31,-2.73,-13.65,-42.1,-50.35,-22.93,-1.56,-11.21,-19.89,-0.69,-4.56,-18.45,-1.08,-4.3,-17.46,-1.08,-3.21,d,140.4303087659465,36.77226809923938
492,78,29,55,114,49,91,95,24,58,33.68,20.13,38.24,-15.21,-24.47,-32.18,-20.28,5.01,-3.48,-19.88,-0.22,-3.78,-22.41,-0.74,-4.91,-17.94,-0.3,-2.83,h,139.90100015412878,36.23351374082377
428,48,33,54,107,58,104,90,25,55,70.16,21.33,48.76,-6.14,-32.49,-43.12,-11.04,5.24,1.05,-22.49,-2.81,-7.31,-22.78,-1.23,-5.12,-19.92,-2.19,-4.89,d,140.55522116342198,36.591434250314684
437,55,40,61,91,58,98,100,25,55,54.38,9.66,31.82,4.71,-33.04,-39.34,-26.54,4.38,-0.48,-18.51,-0.3,-3.59,-18.83,-0.85,-4.09,-17.49,-0.56,-2.79,d,140.66345466531646,36.73492585935913
109,72,28,54,109,51,97,85,25,60,37.56,23.6,44.36,-23.01,-26.08,-37.6,-14.33,3.25,-6.38,-19.1,-0.61,-5.03,-16.02,-0.63,-3.48,-16.77,-1.15,-2.87,h,140.25451297167183,36.626305804149055
519,69,49,76,91,52,91,92,25,57,34.95,-1.55,15.12,5.44,-27.45,-32.64,-21.49,4.32,-2.36,-11.47,-0.4,-3.74,-16.9,-0.78,-4.15,-11.13,-1.48,-3.55,d,140.07326781981914,36.00172255751892
277,48,25,47,92,49,88,63,23,53,65.07,25.11,49.11,3.17,-23.5,-27.34,10.65,5.68,1.68,-18.25,-0.25,-3.01,-20.69,-0.66,-3.75,-16.16,-0.93,-3.29,s,140.49662935308706,36.57300621312767
176,86,28,53,123,54,99,108,25,60,34.15,24.67,45.96,-19.36,-29.33,-39.07,-26.6,3.21,-5.91,-25.7,-0.06,-2.75,-27.53,-0.69,-4.67,-23.96,-0.43,-3.09,h,140.32020408316612,36.5307013521719
311,59,36,61,92,50,88,76,24,56,53.35,13.47,32.23,4.07,-25.02,-28.86,0.14,6.23,-0.08,-19.51,-1.03,-5.05,-19.08,-1.07,-4.72,-16.87,-1.66,-4.05,s,139.96525977629113,35.99862586663589
371,65,27,50,88,47,88,75,23,53,48.37,20.61,40.41,5.43,-22.39,-30.34,1.3,6.16,1.47,-20.45,0.06,-2.97,-18.54,-1.13,-3.87,-16.91,-0.8,-2.75,s,140.00137373468638,36.07000641959341
219,50,34,56,98,55,99,84,25,55,68.27,17.41,42.13,4.33,-28.81,-35.9,-3.5,4.04,0.25,-24.69,-1.86,-5.51,-29.81,-1.33,-6.79,-25.22,-1.95,-5.12,d,140.51961072445692,36.68214894622571
433,39,32,51,94,54,98,76,23,51,72.82,18.37,43.8,4.66,-28.95,-38.5,-1.03,6.72,4.08,-19.93,-0.54,-3.87,-23.99,-1.07,-5.18,-20.14,-1.03,-3.58,d,140.60699043062016,36.5904750755742
83,73,35,61,108,56,95,109,25,59,35.75,21,34.25,3.24,-30.75,-36.25,-35.69,10.83,2.1,-14.22,-6.02,-4.77,-32.81,-0.8,-3.27,-14.72,-7.07,-9.18,h,140.2663270100759,36.14625019005899
384,56,44,64,117,64,114,107,27,59,59.8,9,36.23,-21.56,-38.81,-53.99,-30.52,2.37,-3.83,-20.22,-1.32,-4.54,-18.79,-0.6,-3.21,-17.51,-1.44,-3.67,d,140.1805981188079,36.3208357060087
498,63,34,60,90,49,91,81,25,58,45.97,14.31,32.36,6.9,-24.25,-32.34,-7.32,4.47,-3.08,-19.3,-1.34,-6.26,-18.81,-1.13,-4.85,-16.65,-1.04,-3.47,s,140.7728889182581,35.80154206382725
163,54,27,50,93,46,86,80,23,53,55.22,21.5,42.8,5.22,-21.1,-27.14,-6.65,6.48,1.87,-15.61,-1.5,-5.8,-12.59,-0.69,-4.42,-12.18,-1.8,-4.45,s,140.1414410845531,36.133358222764556
226,57,30,52,101,55,94,96,25,58,59.9,21.34,45.95,0.33,-28.81,-31.12,-16.72,4.11,-2.64,-21.94,-1.73,-5.31,-26.42,-1.3,-6.21,-22.31,-1.81,-4.75,s,140.30910007696943,36.03458612913692
491,61,29,54,96,59,103,84,26,60,57.85,25.22,47.51,3.34,-33.89,-42.94,-3.33,3.19,-4.78,-23.97,0.81,-2,-22.35,-0.9,-3.96,-23.29,-1.65,-4.45,s,139.94420909803716,35.96992745829586
514,59,32,56,90,50,90,85,25,56,51.1,16.87,37.1,8.82,-25.21,-31.1,-10.64,4.49,-1.04,-18.67,-1.5,-5.21,-20.22,-1.13,-4.98,-16.59,-1.25,-3.73,s,140.1759325846456,36.379742645621285
191,58,25,48,98,46,89,73,22,53,55.25,25.26,47,3.64,-21.21,-29.95,3.52,7.18,1.73,-14.78,-3.71,-5.5,-20.27,-1.61,-5.54,-14.66,-2.17,-4.37,s,140.4082785224571,35.98784515909271
27,50,39,62,108,55,101,95,26,58,65.11,11.94,35.26,-8.07,-28.99,-38.74,-17.55,3.12,-2.71,-20.94,-1.65,-4.94,-24.67,-1.08,-5.59,-20.79,-1.81,-4.77,d,140.30855026895438,36.20513147804373
177,54,48,66,87,63,98,123,27,58,57.56,1.35,27.57,12.04,-38.33,-39.11,-48.28,2.17,-3.38,-20.04,-0.61,-4.32,-22.48,-0.85,-4.92,-17.98,-0.31,-2.84,d,140.2417361414347,36.100720015931394
307,56,25,50,102,50,93,81,24,57,59.25,26.32,46.4,-0.24,-24.49,-32.14,-2.82,6.37,-0.64,-18.15,-1.47,-3.62,-23.26,-0.86,-4.37,-18.61,-2.64,-5.08,s,139.88997249210377,36.17685409118216
407,46,27,49,87,47,88,70,23,51,59.62,23.48,43.65,7.29,-21.83,-29.37,1.15,7.28,4.24,-12.78,0.04,-1.25,-17.42,-0.77,-3.34,-14.21,-0.64,-3.11,s,140.66571445626744,35.90629029297809
518,55,56,72,91,79,113,86,35,68,62.2,-3.86,26.38,12.12,-54.09,-53.39,-5.91,-5.65,-12.86,-23.08,-0.08,-3.46,-27.52,-1.04,-4.73,-22.85,-1.49,-4.1,o,140.44721876080456,36.25389998347971
78,80,29,54,119,50,95,101,24,60,33.33,22.28,42.05,-19.36,-24.69,-35.02,-25.24,6.32,-3.92,5.13,-1.35,-1.41,1.88,-0.53,-0.94,3.67,-1.26,-1.35,s,140.36844061343737,35.95630388531584
98,63,71,95,100,87,130,79,43,77,52.16,-18.5,4.5,-4.83,-61.78,-69.99,-3.44,-13.77,-21.94,-19.55,-1.78,-4.91,-19.38,-0.6,-3.39,-17.04,-1.36,-3.63,o,140.30865995206216,36.53268335595232
41,58,52,68,105,65,107,107,27,56,55.13,-1.67,28.04,-8.2,-39.47,-46.19,-32.33,1.79,-1.24,-18.53,-0.61,-3.43,-22.41,-0.74,-4.09,-17.44,-1.16,-3.56,d,140.24147225582158,36.16646580210927
96,62,65,90,97,85,126,92,47,83,52.44,-12.71,9.16,-2.96,-59.82,-66.06,-17.38,-17.95,-28.17,-19.07,-1.45,-4.35,-18.69,-0.58,-3.21,-16.36,-1.17,-3.39,o,140.11882409150738,36.41134353632611
503,47,26,48,86,45,86,75,24,52,60.64,21.69,43.65,9.57,-20.4,-27.47,-1.83,5.46,2.93,-16.73,-0.77,-5.08,-16.87,-0.94,-4.53,-14.97,-1.38,-3.7,s,140.1260222018312,36.06460802799918
265,76,39,64,109,53,101,100,27,62,38.07,11.39,32.96,-12.43,-27.22,-39.42,-24.91,1.82,-7.07,-18.96,-0.55,-3.59,-21.64,-0.82,-4.42,-17.33,-1.02,-3.51,s,140.14026571109926,35.93111109659548
522,71,28,51,96,46,88,92,25,58,34.77,19.4,40.01,-0.98,-21.56,-29.89,-20.38,4.3,-3.24,-13.96,-0.44,-3.84,-15.45,-0.71,-3.94,-12.74,-1.36,-3.63,h,140.21505366006025,36.233092352949626
87,55,47,66,100,61,106,92,25,56,58.65,4.83,32.53,-6.95,-35.66,-45.87,-18.05,4.03,-1.1,-18.45,-1.31,-3.94,-18.22,-0.67,-3.28,-15.49,-1.13,-3.36,d,140.0506748864197,36.00372283868782
308,72,84,105,103,100,138,95,61,97,44.48,-32.77,-8.89,0.53,-74.56,-77.17,-14.79,-30.41,-40.33,-21.59,-1.22,-4.98,-24.58,-0.73,-4.88,-21.09,-2.17,-4.82,o,140.67351174111096,35.886251696925676
320,59,43,65,88,64,99,103,26,59,56.95,8.22,30.83,13.02,-38.6,-38.36,-24.14,4.83,-2.17,-23.63,-1.62,-6.5,-23.95,-1.09,-5.68,-21.22,-1.93,-4.77,d,140.07650853894106,36.178687981266215
158,62,51,68,99,63,98,115,27,57,51.45,-3.04,25.05,-3.08,-38.33,-38.84,-36.86,2.33,-1.87,-23.41,-1.64,-6.52,-21.62,-1.39,-5.74,-20.49,-1.22,-3.76,d,140.14994021667363,36.295125134502726
164,49,38,58,100,62,108,106,26,57,70.53,17.42,44.9,0.06,-36.84,-47.72,-24.47,3.29,-1.64,-25.04,-0.83,-3.82,-22.12,-0.86,-3.97,-23.79,-1.6,-4.53,d,140.29407530592138,36.450731866941965
317,76,28,53,110,49,93,93,25,60,39.8,22.06,42.36,-11.23,-23.66,-32.47,-14.77,5.68,-3.22,-22.91,-1,-6.81,-21.3,-1.25,-5.83,-19.38,-2.03,-4.79,h,140.67326715611705,36.78122721158966
325,57,36,60,86,60,97,89,26,58,57.66,16.27,35.74,17.74,-34.6,-36.65,-10.05,5.25,-0.84,-19.56,-2.23,-4.96,-24.4,-0.86,-4.63,-19.65,-2.56,-5.19,d,140.09277837419123,36.322686072386794
275,46,25,47,87,48,89,57,23,53,67.78,25.61,50.48,8.25,-22.03,-27,17.71,5.92,2.06,-17.36,-0.08,-0.59,-19.17,-0.63,-3.47,-15.54,-0.56,-2.74,s,140.36966817927143,36.151569918607784
339,52,44,73,82,58,94,71,23,51,61.84,6.39,21.46,16.97,-32.77,-34.09,6.26,7.81,5.69,-20.65,-1.15,-5.53,-22.36,-1.08,-5.16,-18.75,-2.08,-4.75,d,140.52399853605348,36.58372091442002
374,46,44,70,82,55,96,84,24,54,64.99,6.39,23.6,16.51,-29.7,-36.52,-8.23,6.61,2.1,-16.86,-0.23,-2.63,-21.53,-0.91,-4.12,-18.31,-1.71,-4.33,d,139.97526215660892,36.0767833697162
119,54,26,49,87,44,84,66,22,51,59.69,21.36,41.34,5.85,-19.49,-26.53,11.46,7.05,3.43,-26.07,-2.71,-5.96,-27.46,-2.55,-6.69,-22.5,-1.91,-4.68,s,139.8491017836859,36.21080617100206
418,46,26,49,89,52,93,65,22,51,70.98,27.67,52.64,10.81,-26.66,-32.52,12.29,8.05,4.72,-21.4,-2.46,-6.66,-22.08,-1,-4.63,-18.7,-2.13,-4.61,s,140.32968505298464,36.835840144394254
483,41,39,63,78,58,94,84,25,55,69.24,9.08,29.67,17.57,-33.26,-34.97,-8.74,4.53,0.1,-19.76,-1.32,-6.27,-18.11,-1.17,-5.17,-17.3,-1.46,-3.89,d,140.6783888462783,36.70987849771429
231,45,26,48,86,52,94,66,25,54,71.11,25.86,49.84,17.65,-26.05,-31.7,14.02,4.97,2.19,-22.11,-1.87,-4.85,-26.42,-1,-5.74,-22.79,-2.49,-5.48,s,140.2695072155666,36.25053693894533
517,51,41,61,101,65,108,111,26,60,67.96,12.96,39.98,0.7,-39.87,-47.97,-29.78,3.36,-4.66,-23.82,1.4,-1.73,-27.66,-1.44,-4.99,-25.3,-2.66,-5.12,o,140.61747289459882,36.84506227240496
133,66,27,50,96,47,87,78,22,53,47.68,20.05,40.16,-3.84,-22.62,-30.04,-1.19,6.81,1.02,-17.88,-0.51,-3.03,-13.77,-2.05,-3.93,-11.3,-1.68,-3.01,s,140.41077843017422,36.10294866127593
3,59,26,49,103,47,92,82,25,56,55.54,24.5,47.9,-6.2,-20.98,-30.28,-5.03,7.77,2.68,-13.77,-2.53,-6.34,-22.03,-2.34,-6.6,-27.1,-7.99,-10.81,s,140.42694311070974,36.710651015056584
313,64,65,87,109,69,115,102,41,78,49.47,-13.81,10.96,-14.97,-43.31,-53.87,-27.72,-12.01,-22.98,-19.53,-0.64,-2.59,-21.33,-0.66,-3.6,-16.8,-0.83,-3.19,o,139.87859475241424,36.04981515783462
139,50,27,50,79,45,84,68,23,54,62.24,20.9,41.68,15.56,-20.35,-25.68,7.93,6.19,0.54,-30.47,-2.34,-7.63,-29.62,-1.71,-5.83,-26.83,-0.92,-2.18,s,139.88866408405855,36.27935628761859
84,98,89,107,152,67,115,114,46,85,15.14,-37.5,-12.28,-51.16,-41.72,-55.12,-37.02,-14.94,-28.14,-18.38,-1.78,-4.85,-22.4,-0.94,-4.61,-18.01,-2.31,-4.97,o,139.89252259021174,36.28981905973785
499,45,27,50,83,48,83,70,24,53,64.3,20.9,42.95,13.04,-23.28,-23.55,4.91,5.63,2.32,-16.33,-0.71,-5.57,-16.64,-0.92,-5.29,-15.62,-2.06,-4.4,s,140.1971863646793,36.08613921417902
233,60,56,75,85,73,103,102,27,58,53.28,-3.83,25.48,14.03,-46.91,-40.26,-24.79,3.47,-0.98,-18.58,-3.09,-9.73,-19.17,-1.52,-6.89,-19.34,-3.11,-6.4,d,140.35629156554344,36.868107309207254
451,67,78,107,89,64,97,82,26,55,44.32,-29.76,-14.67,5.32,-39.28,-38.4,-6.13,3.43,-0.15,-20.81,-1.81,-5.64,-17.8,-1.29,-4.79,-17.67,-1.68,-3.9,d,140.66161967525974,36.84797997296493
173,73,28,53,112,49,93,98,24,60,37.88,20.65,39.71,-16.52,-25.04,-34.47,-25.45,4.18,-6.13,-19.52,0,-2.98,-20.99,-0.39,-5.04,-16.54,0.23,-2.69,h,140.05092312415664,36.05090824808816
512,57,30,53,89,48,87,90,24,55,51.84,18.28,39.12,8.55,-23.3,-28.38,-16.33,5.49,-0.04,-17.5,-1.25,-4.75,-17.04,-0.92,-4.4,-15.46,-1.28,-3.68,s,140.05848700880395,35.95464234129919
235,42,39,60,88,64,104,92,26,54,74.78,12.68,38.04,16.34,-37.95,-41.27,-11.25,3.76,2.03,-22.88,-1.86,-5.26,-28.53,-1.18,-6.34,-24.11,-2.28,-5.39,d,140.05542757663446,36.3763633140271
288,75,79,98,106,94,131,85,45,79,38.16,-27.95,-0.13,-11.81,-68.08,-69.32,-10.78,-15.96,-23.84,-18.93,-0.55,-2.35,-20.42,-0.68,-3.74,-16.49,-0.75,-3.18,o,140.32105647044892,35.89097554088858
278,51,50,72,78,66,99,94,25,55,62.18,1.24,23.38,21.78,-40.59,-38.6,-16.51,5.6,1.57,-24.11,-0.45,-5.2,-20.46,-0.81,-5.3,-22.36,-0.39,-3.33,d,140.6211491557608,36.06168894776998
420,63,35,56,100,51,94,104,26,57,45.23,15.42,37.07,-3.72,-25.86,-35.12,-30.84,3.97,-1.92,-16.85,-0.37,-2.51,-20.64,-0.93,-4.14,-17.73,-0.83,-3.21,s,140.16372828921703,36.37862437822931
515,76,28,53,115,55,99,102,24,58,41.99,24.45,45.7,-12.72,-30.08,-39.25,-21.82,5.21,-2.96,-23.52,0.22,-2.34,-26.28,-0.98,-4.57,-22.81,-1.47,-4.06,h,140.09227518973586,36.20406691527312
64,56,26,51,107,49,91,78,23,55,51.23,22.69,42.15,-29.06,-25.75,-35.68,-19.37,3.39,-3.74,-17.84,0.77,-2.66,-10.48,0.44,-0.97,-6.78,0.48,-0.72,h,140.5304772389408,36.4987913083088
287,58,32,56,95,55,98,83,25,57,56.02,18.62,41.45,0.15,-29.15,-36.3,-8.17,3.91,-1.99,-15.97,0.12,0.12,-18.16,-0.56,-2.96,-14.63,-0.53,-2.41,s,140.51088638330393,36.04809141892444
106,78,29,53,118,48,89,101,25,58,39.97,19,37,-18.9,-23.17,-31,-23.6,3.74,-4.54,-23.56,0.22,-2.02,-22.3,-1.09,-3.67,-16.88,-0.4,-1.67,h,140.25266981809494,36.68357772454567
213,58,33,54,95,51,95,81,27,58,58.38,18.95,44.05,9.1,-24.89,-32.42,-0.29,3.48,-1.27,-22.3,-1.93,-4.77,-26.49,-1.01,-5.77,-23.96,-3.26,-6.42,s,140.39028333201725,36.03586748640276
43,53,27,49,87,50,90,71,25,55,62.14,24.28,48.07,15.31,-24.29,-28.36,7.09,4.66,0.71,-24.07,-2.26,-5.76,-31.75,-1.61,-6.74,-24.89,-2.85,-5.98,s,140.3950095375416,36.64947204800939
123,57,35,59,94,66,102,90,32,67,50.24,19.42,36.3,1.83,-40.01,-41.65,-15.77,-1.24,-11.63,-11.34,12.46,7.37,-3.82,3.44,3.94,-16.84,8.84,7.79,s,140.17440805118474,35.87266415959189
148,85,29,55,122,55,103,101,26,62,34.29,25.14,47.14,-24.14,-29.72,-42.15,-20.86,2.45,-7.41,-23.62,0.21,-2.47,-19.65,-0.72,-3.93,-21.59,-0.18,-3.34,h,140.51104342442258,36.579157290933445
73,60,27,49,95,47,88,69,23,53,53.52,22.68,45.27,1.42,-21.82,-28.12,8,7.65,3.6,-19.52,-2.97,-7.33,-26.02,-2.03,-6.91,-19.2,-4.02,-6.92,s,140.00681647217587,36.133802282248396
373,73,27,54,111,51,98,92,25,60,38.68,24.87,44.61,-19.53,-25.83,-38.23,-18.13,3.83,-5.41,-23.3,-1.45,-5.6,-24.76,-1.08,-4.35,-22.29,-2.03,-4.17,h,140.53539330498373,36.50509293514894
358,58,30,52,90,54,94,73,26,57,55.6,21.93,45.48,8.88,-28.61,-33.79,2.6,4.44,-0.88,-16.53,-1.84,-3.7,-20.41,-0.99,-4.14,-16.17,-2.55,-4.79,s,140.64261785275338,36.01496171601934
393,63,57,75,122,88,124,98,40,71,52.52,-4.31,24.51,-26.93,-62.94,-64.3,-21.08,-10.87,-16.05,-21.6,-0.5,-3.5,-20.17,-0.56,-3.17,-19.6,-1.33,-3.78,o,140.5467369916121,35.994029102169286
214,50,51,80,100,79,112,75,38,67,64.12,0.59,19.06,-1.02,-52.93,-49.57,2.84,-7.07,-9.66,-18.48,-2.58,-8.27,-20.69,-1.57,-6.57,-21.88,-4.35,-7.32,o,139.88645747360925,36.074351330412156
75,58,27,51,95,49,94,68,23,55,55.51,24.66,47.4,-1.75,-23.56,-33.53,6.22,5.97,-0.1,-19.98,-2.27,-4.94,-23.41,-1.46,-4.69,-16.93,-1.5,-4.21,s,140.49382975783448,36.10324135021297
103,70,29,55,106,51,93,100,25,60,37.74,20.73,38.36,-3.9,-25.2,-32.46,-32.17,3.8,-6,-13.94,-0.55,-4.11,-25.68,-1.82,-5.91,-8.59,0.14,-1.97,h,139.8381924661438,36.13273548460456
509,54,26,50,100,55,99,72,23,54,65.04,28.04,51.06,1.76,-29.88,-38.95,9.28,6.35,1.33,-23.09,1.4,-2.48,-27.16,-1.73,-5.22,-25.06,-3.09,-5.59,s,140.2046879963198,36.05577556389328
490,49,29,52,84,51,92,61,23,52,67.59,22.53,45.39,18.97,-26.06,-32.39,18.38,6.4,3.15,-23.43,-0.49,-4.61,-29.02,-1.22,-5.29,-23.05,-1.58,-4.22,s,140.1485365947517,35.9223735637837
182,83,29,54,120,51,95,108,25,61,36.19,21,42,-14.86,-26.2,-35.4,-24.68,4.21,-5.81,-27.05,-0.83,-5.72,-30.5,-1.17,-5.8,-26.93,-1.03,-4.09,h,140.49178002020338,36.27227257306886
456,62,32,54,92,50,89,84,26,57,50.65,16.27,39.28,3.49,-25.22,-29.74,-7.19,3.43,-1.95,-23.26,-2.3,-7.35,-22.39,-1.65,-6.18,-19.73,-1.28,-3.7,s,140.55577358510772,36.62112711013914
264,55,38,58,89,60,97,102,27,60,59.47,13.99,38.84,13.02,-34.3,-35.7,-23.15,3.84,-3.01,-21.46,-2.58,-6.28,-22.66,-1.13,-5.69,-21.26,-2.69,-5.79,d,140.58836836790616,36.35792944033949
434,48,26,50,87,49,89,68,22,52,65.26,25.05,45.89,13.14,-23.89,-29.27,8.27,8.09,3.53,-22.79,-1.46,-5.25,-28.93,-1.49,-5.87,-23.35,-2.88,-5.15,s,140.19079424004005,35.88039737996227
