id,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,label,X,Y
26,66,78,101,106,73,114,112,36,73,48.08,-26.47,-2.61,-7.11,-47.11,-52.05,-33.92,-5.12,-15.77,-19.12,-2.7,-8.21,-19.17,-1.41,-6.24,-20.34,-3.67,-6.73,o,140.31557370347085,36.478634806409325
107,41,40,64,85,57,96,76,23,51,70.52,10.55,29.79,14.21,-31.69,-36.4,0.11,7.68,5.21,-17.35,-0.48,-2.83,-22.33,-0.95,-4.31,-18.8,-2.06,-4.6,d,139.96521499536388,36.33970846443788
299,80,29,54,113,49,91,98,25,59,32.35,20.73,39.55,-16.82,-23.92,-31.66,-21.87,5.23,-3,-19.19,-1.22,-5.17,-18.32,-1.03,-4.65,-16.81,-1.62,-4.08,h,140.54758426836108,36.733264857495776
129,57,44,67,135,58,111,112,25,55,60.76,10.38,35.83,-37.67,-32.5,-50.27,-34.52,5.02,0.85,-22.2,-2.72,-7,-19.67,-1,-4.22,-18.81,-2.16,-4.66,d,140.3626407559531,36.455036731976996
185,56,26,51,96,55,99,72,22,54,63.07,28.12,50.19,5.71,-29.87,-38.94,9.31,7.35,1.33,-22.55,1.43,-2.64,-27.76,-2.02,-5.59,-25.3,-3.26,-5.95,s,140.5988158953141,36.70220996737795
218,75,77,97,114,78,120,129,37,77,35.8,-26.17,0.7,-18.62,-51.57,-56.88,-56.98,-8.09,-21.96,-16.83,-1.03,-4.35,-21.66,-1.13,-5.38,-15.17,-0.82,-3.49,o,140.0063986656422,36.194079662409074
284,60,29,50,99,49,96,78,24,57,52.15,20.85,45.43,-5.16,-23.71,-36.04,-5.69,4.54,-2.54,-17.31,0.05,-2.47,-19.38,-0.51,-3.16,-14.81,-0.81,-3.04,s,140.22218387971887,36.43776354391216
383,54,29,54,81,51,89,66,21,51,59.33,19,36.77,13.11,-26.28,-31.07,10.12,8.24,3.5,-20.25,0.02,-2.76,-18.52,-1.11,-3.88,-16.84,-0.83,-2.78,h,140.45393695631,36.32667419860968
398,52,29,51,80,51,89,75,24,54,55.11,21.38,41.84,15.39,-25.8,-30.18,-2.53,6.3,1.43,-14.55,-0.14,-1.9,-19.64,-0.89,-3.8,-16.24,-1.12,-3.66,s,140.16663457909266,36.127524876829554
463,58,31,55,95,51,92,82,24,58,55.89,19.71,40.67,5.38,-26.01,-32.37,-5.08,5.66,-2.85,-22.08,-1.01,-4.7,-27.66,-1.36,-5.76,-22.23,-1.94,-4.45,s,140.32522450117665,36.72049102318565
505,57,30,52,96,50,92,98,24,58,61.95,20.03,44,8.68,-25.17,-32.43,-15.62,5.25,-2.86,-26.79,-0.88,-5.76,-29.99,-1.2,-5.77,-25.95,-1.06,-4.03,s,140.32905176957468,36.473933300509714
11,75,68,89,116,77,118,94,42,76,43.28,-16.52,9.17,-13.26,-50.8,-54.87,-13.2,-12.88,-20.64,-24.49,-1.42,-4.34,-27.33,-0.91,-5.92,-24.1,-1.21,-4.88,o,140.53521327527088,36.83507769156209
102,72,29,56,110,48,92,94,24,59,40.64,19.45,36.64,-17.29,-23.62,-34.17,-19.22,5.13,-3.64,-19.15,0.95,-3,-16.37,-0.33,-3.11,-15.9,0.02,-3.22,h,140.54603098506468,36.09416829358111
427,45,27,51,84,52,94,58,23,51,73.63,27.13,50.95,15.51,-26.62,-33.5,21.74,6.94,4.86,-24.37,-1.65,-5.89,-23.67,-1.12,-4.67,-22.78,-2.33,-5.14,s,140.17305546223994,36.196500131190426
351,49,37,61,77,60,95,91,26,58,62.33,12.3,32.02,18.66,-34.92,-35.78,-16.39,4.06,-2.34,-16.47,-0.9,-4.78,-18.34,-1.22,-4.67,-13.89,-1.74,-3.94,d,140.22300502274214,36.14074441336764
415,41,27,50,84,51,94,57,23,50,76.18,25.88,49.45,12.21,-26.05,-34.58,21.51,6.05,4.97,-23.07,0.13,-2.19,-20.8,-0.47,-3,-21.05,-1.14,-3.9,s,140.19077700509877,35.98623291059577
89,71,65,85,100,81,121,120,35,73,41.86,-13.07,13.72,-7.37,-55.67,-60.87,-45.74,-6.05,-18.19,-19.74,-1.1,-3.55,-20.74,-0.64,-3.31,-17.51,-1.09,-3.32,o,140.45197132770738,35.96861447111628
323,66,29,52,97,49,92,101,27,59,49.29,21.68,43.26,3.12,-23.66,-31.59,-22.69,3.83,-2.19,-22.71,-1.44,-6.43,-23.48,-1.19,-5.76,-20.26,-2.09,-4.83,s,140.70890260084252,36.69072289923224
24,57,55,71,102,70,108,126,27,59,58.55,-2.97,27.12,0.95,-44.02,-45.8,-45.99,3.78,-1.9,-22.16,-2.01,-4.88,-23.59,-1,-5.59,-22.3,-3.61,-6.71,d,139.85094848891714,36.204427274262336
506,71,28,52,108,58,101,90,26,58,47.78,26.12,49.37,-8.49,-32.9,-40.95,-9.37,3.21,-2.77,-23.91,1,-1.74,-23.79,-1.04,-4.31,-23.84,-1.93,-4.59,h,140.46990478250842,36.365900033165346
448,66,31,59,90,49,88,81,25,53,46.27,17.16,33.65,5.16,-24.27,-29.12,-4.73,4.35,1.84,-22.68,-2.02,-6.54,-20.56,-1.44,-5.35,-18.85,-1.43,-3.64,s,140.58866441570734,36.62689507059025
165,86,30,57,119,57,104,101,25,62,34.17,26.44,46.83,-17.7,-31.72,-43.39,-17.3,4.11,-6.56,-25.69,-1.18,-4.63,-21.69,-0.95,-3.98,-25.36,-1.36,-4.51,h,140.2757647022885,35.948952373150796
489,61,62,84,90,62,98,98,25,54,53.5,-13.71,10,7.1,-37.15,-37.99,-18.34,4.94,1.97,-21.76,-1.7,-6.04,-18.53,-1.23,-5.83,-19.2,-1.68,-4.73,o,140.44642174572343,36.12154249517259
144,46,28,50,82,51,90,67,24,54,67.16,22.52,45.32,17.56,-25.99,-30.28,9.21,5.74,1.17,-31.34,-0.8,-5.32,-40.37,-2.43,-7.94,-34.14,-3.82,-6.47,s,140.30936705134292,36.120554122206435
485,82,30,54,120,52,95,104,24,58,37.52,22.64,44.94,-17.32,-27.17,-35.11,-23.32,4.9,-3.25,-25.16,-0.25,-3.25,-26.71,-0.86,-4.7,-23.27,-1.07,-3.72,h,140.62327476111884,36.85553706314461
476,60,50,76,87,65,96,98,26,56,53.51,-1.89,17.54,9.1,-40.28,-36.48,-19.48,3.48,-0.56,-22.49,-1.77,-6.56,-20.33,-1.34,-5.86,-20.07,-1.46,-4.3,d,140.22590342770124,35.96198819552889
462,57,31,52,93,51,91,91,23,54,55.22,18.94,42.41,5.77,-26.16,-31.75,-15.74,6.5,0.93,-20.64,-0.52,-3.63,-24.05,-1.04,-5.41,-20.01,-0.29,-3.06,s,140.5164864361795,36.28202113557606
386,50,43,65,96,65,108,105,28,61,64.4,9.48,33.69,2.88,-39.65,-47.91,-28.99,2.53,-4.9,-18.74,-1.76,-4.31,-20.83,-0.74,-3.86,-17.65,-2.38,-4.63,d,140.55667805799075,36.19139718394101
500,76,28,53,115,52,97,99,24,59,43.37,24.64,45.94,-12.39,-27.16,-37.13,-18.36,4.94,-4.21,-24.91,0.02,-2.62,-26.53,-0.87,-4.64,-23.23,-1.18,-3.8,h,139.94497986854736,36.16615679775537
13,51,47,67,95,66,106,97,26,56,66.92,4.48,31.13,7.76,-39.83,-42.96,-16.39,3.16,-0.6,-23.75,-1.66,-4.84,-28.07,-1.14,-6.32,-24.11,-1.67,-5.04,d,140.58424265322236,36.58340537193888
447,41,23,47,81,46,89,45,19,48,76.63,29.9,52.71,20.61,-20.82,-28.79,34.5,10.75,7.56,-23.29,-1.17,-4.49,-25.52,-1.06,-4.9,-22.04,-1.82,-4.62,s,140.6504222384664,36.841698543370455
309,42,31,53,91,56,95,76,23,53,68.81,18.72,41.32,3.72,-31.12,-36.33,-4.75,6.08,1.73,-15.81,0.07,-2.67,-19.74,-0.49,-2.65,-13.76,-1.61,-3.48,d,140.10545830646313,36.10562160054138
62,61,59,77,99,73,111,105,35,73,52.61,-8.27,20.31,-5.01,-47.45,-50.12,-31.09,-6.15,-18.15,-19.07,-0.19,-2.64,-20.29,-0.49,-3.32,-16.19,-0.65,-3.04,o,139.9070510337602,36.070094145667476
61,45,43,62,96,63,101,90,30,65,63.77,6.03,31.53,-7.27,-38.71,-43.91,-23.74,-1.89,-11.44,-16.33,0.63,-2.7,-17.18,-0.2,-1.83,-11.33,-0.95,-2.64,o,140.49782012237299,35.99251091516279
110,56,49,69,113,63,111,109,26,58,59.11,4.04,31.19,-15.32,-37.68,-50.91,-33.39,4.44,-1.93,-18.84,-2.85,-5.54,-19.9,-0.9,-4.05,-16.65,-2.57,-4.89,d,140.35350963099705,36.169622741917685
399,64,57,75,86,73,103,88,23,51,49.32,-9.23,15.68,7.22,-48.35,-45.33,-11.6,6.12,3.38,-20.47,-0.22,-3.33,-17.54,-1.27,-3.9,-16.93,-1.21,-2.93,d,140.58060207907224,36.56151591733088
472,58,32,55,101,50,93,73,24,54,51.96,17.02,38.25,-2.39,-25.11,-34,1.09,5.53,0.95,-18.48,-0.39,-4.92,-20.94,-1,-4.87,-17.4,-0.94,-3.39,s,140.4044382366565,36.74085459338961
146,54,50,69,101,64,107,104,26,55,64.92,3.86,32.05,-1.69,-38.85,-46.97,-23.48,3.46,0.47,-24.38,-0.08,-2.97,-22.39,-0.82,-3.83,-22.89,-1.58,-4.54,d,140.57934802285644,36.493248349616024
187,55,58,76,89,84,118,83,36,69,62.31,-5.84,22.37,13.68,-59.12,-58.43,-2.94,-6.73,-13.94,-23.2,-0.1,-3.45,-27.1,-1,-4.68,-22.83,-1.41,-4.02,o,140.64661509077965,36.00713634924273
105,70,29,54,114,47,89,98,25,58,45.73,18,36.15,-16.48,-22.26,-31.1,-18.38,3.84,-3.31,-21.74,0.95,-2.44,-21.3,-1.11,-3.8,-19.31,-0.56,-2.94,h,139.87930902248644,36.058323837662435
276,57,27,50,92,49,92,73,24,57,58.18,23.26,47.24,5.23,-23.21,-30.11,3.28,4.76,-2.06,-19.64,-0.15,-2.3,-22.56,-0.81,-4.39,-18.25,-0.78,-3.2,s,140.62518953182013,36.023847140443976
90,81,98,125,117,90,129,89,46,76,28.79,-50.31,-34.91,-25.59,-65.59,-71.75,-14.35,-16.71,-21.35,-16.7,0.26,-2.5,-15.87,-0.79,-3.25,-14.96,-0.71,-2.72,o,140.40381868585825,36.592564645543845
513,80,31,54,118,50,92,106,24,59,33.28,19.35,41.05,-16.49,-25.2,-32.96,-29.7,5.21,-4.28,-18.69,-2.86,-5.61,-22.77,-1.36,-5.41,-17.18,-1.53,-3.71,h,139.72049543073638,36.181221933035594
17,62,59,73,91,78,109,112,28,59,51.78,-7.26,26.41,7.38,-52,-46.65,-34.42,2.75,-1.82,-18.39,-2.84,-8.8,-18.93,-1.51,-6.56,-20.28,-3.8,-6.86,d,140.41465433252273,36.31567543594554
112,57,55,73,93,72,107,99,26,57,54.69,-5.93,18.93,1.62,-47.02,-48.44,-24.12,3.51,-2.24,-18.23,0.17,-2.02,-17.9,-0.94,-3.75,-15.88,-0.27,-2.59,d,140.20745053539164,35.924577752708345
167,59,28,51,93,57,98,86,26,59,60.96,28.2,52.66,7.43,-31.79,-37.53,-3.45,3.19,-3.64,-25.47,-0.24,-4.57,-18.6,-0.96,-3.52,-23.25,-1.44,-4.28,s,140.4001356387464,36.74115530709381
236,73,28,51,115,51,96,94,25,59,43.72,23.71,47.04,-10.56,-24.95,-33.29,-13.23,4.79,-2.93,-22.8,-1.86,-5.23,-28.35,-1.17,-6.29,-24.01,-2.29,-5.4,h,140.07543158195065,36.16488931326857
470,51,27,50,95,55,98,81,25,54,68.44,28.23,52.69,4.96,-29.85,-37.75,0.38,4.3,1.37,-24.94,-0.77,-3.75,-22.2,-0.85,-3.96,-23.67,-1.58,-4.52,s,140.70154444573842,36.727922379285175
94,58,51,67,94,65,101,111,26,56,53.47,-1.53,26.13,2.01,-39.93,-41.94,-36.52,4.14,-0.25,-17.32,0.19,-3.26,-18.41,-0.82,-3.93,-15.67,-1.23,-3.91,d,140.30315739013312,36.31151259682343
79,59,29,52,97,52,98,74,25,57,54.5,22.78,46.58,-3.71,-26.53,-37.49,0.42,3.99,-2.07,-18.07,0.17,-1.16,-19.03,-0.07,-2.62,-13.87,-0.24,-2.22,s,140.48938734263538,36.168670606747106
138,47,38,60,121,57,108,91,25,54,70.75,14.9,39.4,-24.32,-32.09,-48.69,-11.99,4.14,1.06,-23.04,0.36,-1.65,-20.31,-0.44,-2.86,-21.01,-1.15,-3.95,d,140.2609459724512,36.20829531395218
300,50,31,52,85,48,86,73,24,51,62.35,18.93,41.98,12.27,-22.86,-26.41,3.6,6.39,5.23,-19.6,-1.05,-5.24,-19.52,-1.06,-4.89,-17.84,-1.64,-4.2,d,140.59347425110528,36.37798504613559
269,44,43,67,86,57,98,80,25,54,72.36,8.7,29.77,17.5,-31.36,-36.55,0.37,5.43,2.6,-22.04,-2.15,-5.24,-24.9,-0.92,-5.38,-21.8,-2.58,-5.48,d,140.39669520417982,35.985595117083115
6,56,29,50,93,51,94,77,26,58,62.5,22.48,48.2,9.69,-24.78,-30.81,3.91,3.09,-2.68,-26.33,-0.55,-3.89,-23.84,0.02,-4.2,-23.17,-0.22,-4.22,s,140.5809452241677,36.85669484680134
435,69,69,89,110,73,113,122,38,76,41.71,-20.21,3.25,-14.68,-48.09,-54.37,-47.01,-8.56,-21.23,-20.31,-0.79,-4.5,-19.48,-1.18,-4.49,-18.15,-1.16,-3.32,o,140.38018319326093,36.545850093891154
230,54,28,50,102,50,93,77,24,56,61.78,23.99,47.94,1.24,-24.02,-30.79,3.24,6.78,1.08,-22.39,-1.83,-4.63,-23.57,-0.91,-5.43,-22.5,-3.59,-6.67,s,140.70202567037333,36.75914242878071
494,63,27,51,101,48,90,87,24,57,48.84,22.27,42.43,-1.92,-23.41,-31.14,-12.06,5.07,-2.43,-19.99,-0.4,-4.02,-22.49,-0.79,-4.93,-18.05,-0.34,-2.86,s,139.81606418154698,36.15814665132329
508,48,31,52,93,50,92,101,25,58,69.47,19.36,44.01,11.2,-25.09,-32.55,-20.53,4.34,-2.93,-25.33,-1.31,-5.85,-29.64,-1.35,-5.78,-23.86,-1.18,-3.92,o,139.9005962550116,36.01901809122765
408,81,90,110,124,73,116,124,37,75,32.29,-42.83,-19.71,-31.79,-48.57,-58.85,-47.39,-8.21,-20.96,-20.37,-0.16,-3.3,-16.84,-1.3,-3.71,-16.67,-1.21,-2.78,o,140.49190685071454,36.24484902766644
100,64,54,71,116,63,104,127,26,59,48.88,-2.53,24.02,-14.78,-37.54,-43.87,-49.9,5.12,-2.25,-17.76,-1.11,-2.88,-23.46,-0.93,-4.33,-19.48,-2.8,-5.18,d,140.39444486244517,36.64038935924238
257,70,28,51,104,51,95,88,26,60,44.24,22.43,46.35,-7.11,-25.01,-32.8,-12.61,2.86,-4.96,-18.18,-0.37,-2.69,-20.66,-0.75,-4.25,-16.52,-0.73,-3.2,s,140.02530657135063,36.29062076491758
395,54,30,51,94,52,92,80,23,54,56.17,20.66,42.95,3.65,-26.72,-32.6,-5.85,7.58,1.91,-17.88,-0.74,-4.28,-23.56,-1.21,-4.82,-19.3,-2.99,-4.94,s,139.94625194510652,36.22951394300352
2,53,25,49,99,51,93,84,26,58,63.2,26.7,49.28,3.25,-24.89,-30.38,-3.6,4.15,-1.46,-15.92,-1.79,-4.64,-17.73,-0.48,-4.69,-19.97,-4.1,-7.07,s,140.41790117740143,36.68407022967971
155,53,48,65,87,60,98,95,25,54,57.03,0.61,27.42,8.72,-35.13,-39.23,-20.53,4.43,0.79,-19.23,-0.77,-5.12,-17.62,-1.03,-4.42,-16.84,-1.09,-3.24,d,140.09682987732205,36.05422950947759
381,61,46,66,121,63,112,105,27,59,54.92,7.09,34.42,-25.47,-37.79,-51.94,-28.58,2.42,-3.78,-20.1,-1.75,-4.94,-18.8,-0.6,-3.24,-17.59,-1.48,-3.76,d,140.38913191956016,36.29432823093128
154,67,48,68,110,72,115,81,34,66,51.87,5.77,33.27,-11.84,-46.93,-54.94,-0.7,-5.02,-10.97,-23.25,0.65,-1.84,-19.67,-0.48,-3.16,-21.6,-0.63,-3.77,o,140.34551702955673,36.29455828951143
132,58,58,76,109,80,121,64,48,70,59.55,-4.03,25.95,-11.91,-54.61,-60.54,13.63,-18.2,-14.35,-22.27,-2.19,-6.03,-19.7,-0.9,-3.99,-19.17,-1.93,-4.48,o,139.84132638548874,36.041738518308726
425,66,32,55,91,49,91,82,27,58,46.58,15.75,36.1,2.47,-24.39,-33.09,-5.67,2.1,-3.57,-22.52,-0.82,-5.41,-19.85,-1.27,-4.4,-19.16,-1.02,-2.81,d,140.29351789484562,36.31141982206966
316,55,28,52,98,51,97,77,26,57,58.56,23.54,46.35,-4.35,-25.34,-35.99,-2.56,3.02,-1.96,-19.88,-1,-2.72,-20.95,-0.59,-3.48,-17.09,-0.84,-3.22,s,139.82786910841966,36.146150867632045
338,50,40,62,113,60,106,99,28,59,62.68,10.54,33.79,-16.73,-34.94,-46.61,-25.81,1.52,-3.72,-15.17,-0.53,-2.59,-18.07,-0.64,-3.09,-13.33,-1.74,-3.83,d,140.65640782917865,36.70445507301303
394,81,29,53,114,53,98,102,26,61,34.36,24.74,48.26,-16.33,-27.57,-37.65,-26.2,4.55,-4.95,-18.8,-3.12,-5.42,-19.01,-0.8,-3.72,-15.86,-2.44,-4.73,h,140.01148611411568,36.35173299797633
188,65,28,53,100,47,90,98,25,58,35.74,19.29,37.57,-2.93,-22.56,-32.41,-33.15,3.9,-4.47,-7.81,-0.18,-3.18,-17.45,-0.65,-3.4,-5.43,-1.22,-2.56,h,140.04602931686392,36.34522340747861
402,48,29,52,86,56,100,61,23,54,67.62,23.65,47.36,9,-31,-40.42,16.15,6.02,0.85,-21.44,-0.05,-3.06,-20.11,-0.51,-3.04,-19.82,-1.25,-3.7,s,139.89883221673693,36.094729407077175
4,57,49,66,103,64,106,114,28,59,59.44,2.62,32.02,-1.33,-37.99,-43.57,-34.25,1.83,-2.94,-21.74,-1.64,-4.62,-23.74,-0.85,-5.5,-22.83,-2.74,-5.84,d,140.2142976972791,36.00653717944935
200,63,26,50,95,49,91,81,26,57,53.09,25.72,48.33,7.16,-22.89,-28.4,-0.69,4.16,-0.44,-17.64,-1.81,-4.7,-19.39,-0.65,-5.01,-20.89,-3.96,-6.85,s,140.37407756801497,36.29223882689254
232,62,54,79,105,70,109,118,30,66,54.04,-2.05,18.81,-1.44,-44.01,-46.75,-37.49,0.75,-8.95,-22.56,-1.87,-4.62,-24.41,-0.92,-5.51,-23.07,-3.51,-6.63,d,140.3198012854548,36.00192754284293
249,76,72,89,118,74,119,117,32,69,36.22,-21.32,8.56,-22.1,-47.76,-56.31,-43.54,-3.1,-13.95,-15.68,-0.58,-2.08,-17.16,-0.53,-3.76,-13.19,-0.31,-2.84,d,140.28949058361655,36.35756940450845
487,77,28,52,115,56,103,104,24,59,41.91,24.98,47.42,-13.08,-31.03,-43.06,-23.46,5.18,-3.93,-24.27,0.73,-1.55,-25.64,-0.92,-4.36,-23.21,-1.58,-4.21,h,140.47157725775227,36.15640511541007
401,54,31,56,87,49,87,67,23,50,54.58,20.64,37.66,8.15,-23.66,-27.9,6.9,7.21,5.14,-15.34,-0.9,-2.11,-16.51,-0.79,-3.46,-15.92,-0.19,-2.53,s,140.30350724908837,36.58919242595641
140,66,29,53,99,52,96,89,25,57,51.71,24.54,48.11,1.82,-26.67,-35.51,-9.96,4.93,-1.27,-19.44,-1.27,-4.94,-15.68,-0.5,-3.61,-15.16,-1.06,-3.76,s,140.06803754389068,35.99723451093123
190,56,27,51,93,60,101,71,24,55,62.77,27.03,50.2,6.91,-34.9,-40.95,9.68,5.23,0.24,-23.82,2.07,-1,-35.11,-2.05,-6.94,-28.6,-2.97,-5.27,s,140.24538712609208,36.27051024020028
262,71,27,53,109,49,96,95,26,59,43.06,23.47,43.96,-12.22,-23.2,-34.4,-19.8,2.85,-4.05,-19.19,-0.74,-4.01,-22.02,-0.87,-4.6,-17.72,-1.15,-3.69,s,140.09627177895172,36.187434871346206
410,52,44,64,99,57,97,107,27,59,58.72,6.71,30.38,-0.26,-31.77,-37.61,-32.56,3.33,-3.38,-19.49,-1.12,-5.33,-26.51,-1.39,-5.28,-20.93,-3.21,-5.03,d,140.03077051523832,36.25996644915351
468,62,57,77,93,78,110,98,31,62,51.21,-9.06,16.07,2.77,-53.34,-50.81,-19.89,-1.62,-6.76,-22.91,-1.55,-6.37,-21.02,-1.34,-5.7,-20.22,-1.27,-3.89,d,140.59365821568798,36.333706352444075
67,61,50,68,103,65,107,101,27,57,53.47,1.29,28.19,-1.98,-39.57,-46.55,-23.48,3.19,-0.91,-15.52,-1.46,-2.77,-21.1,-0.83,-3.8,-16.41,-2.26,-4.5,d,140.0184378025045,36.309769930558495
350,71,81,100,100,88,122,79,46,74,40.65,-33.14,-9.41,-7.58,-63.42,-64.26,-3.22,-16.68,-19.27,-20.04,0.15,-3.43,-18.04,-0.98,-3.93,-17.06,-0.18,-2.42,o,140.51802636574345,36.391427822644374
237,65,72,94,81,93,127,100,84,114,46.36,-21.27,3.67,12.7,-66.13,-63.43,-26.61,-54.74,-58.28,-20.89,0.23,-3.13,-19.97,-0.26,-3.87,-16.75,0.59,-3.09,o,140.1195467934048,35.88315393773956
291,64,32,57,95,52,96,78,27,57,49.78,18.7,40.51,-0.05,-26.13,-34.3,-3.35,1.94,-1.96,-17.8,-0.06,-0.85,-19.92,-0.62,-3.38,-15.98,-0.63,-2.79,s,140.4257028307391,36.716870313490716
248,58,75,110,82,74,108,52,32,58,56.65,-23.93,-12.94,18.52,-48.1,-46.1,25.04,-2.52,-2.44,-20.55,-1.77,-4.72,-25.25,-1.01,-5.3,-20.32,-2.17,-5.06,o,140.6118398648635,36.70619852541427
281,85,29,55,119,50,96,104,26,60,27.59,20.99,40.69,-24.3,-24.61,-35.72,-30.92,2.63,-5.42,-18,-0.19,-2.98,-20.48,-0.62,-3.56,-15.83,-0.95,-3.27,h,140.27497568649233,35.87796214304878
208,65,29,52,101,51,95,89,28,62,50.97,23.02,46.13,2.81,-24.91,-32.51,-8.62,2.54,-5.19,-21.7,-1.94,-4.79,-25.24,-0.99,-5.64,-23.16,-3.48,-6.54,s,140.46482733991647,36.31159549489748
458,52,33,54,99,61,107,109,26,56,65.94,19.81,45.4,2.72,-35.9,-46.93,-29.2,3.56,-0.61,-24.05,-0.89,-4.48,-26.66,-1.07,-4.94,-23.11,-1.85,-4.58,s,140.00424252960767,36.09311813198544
355,48,37,59,98,60,108,73,24,55,66.5,15.28,40.19,-3.64,-34.69,-47.88,1.42,5.2,0.02,-18.81,-1.58,-4.69,-18.48,-0.69,-3.5,-15.85,-1.33,-3.58,d,139.90060730592782,36.07060332419116
44,82,29,55,117,50,98,101,26,63,34.21,21.21,42.36,-16.84,-24.14,-35.64,-21.67,2.64,-7.93,-19.7,0.08,-1.2,-24.43,-0.73,-4.36,-20.41,-0.49,-3.02,h,140.41615793493688,36.31062498070222
362,67,28,51,100,51,97,84,25,58,45.73,23.72,44.85,0.34,-25.55,-36.88,-8.02,5.68,-1.76,-16.82,-1.03,-2.64,-21.82,-0.85,-3.98,-17.82,-2.46,-4.65,s,140.50872173142946,36.0390696312952
175,51,32,55,77,45,85,68,24,52,58.24,16.19,37.27,19.92,-20.28,-26.25,6.12,5.46,2.91,-32.24,-2.1,-8.85,-29.88,-2.04,-6.98,-25.53,0.17,-1.84,s,140.58538108052767,36.4496937905075
440,38,37,58,97,62,111,72,24,53,80.01,16.64,43.15,3.67,-36.71,-50.6,7.32,5.82,2.66,-24.94,-2.22,-7.18,-28.68,-1.61,-5.89,-23.87,-2.67,-5.19,d,140.30031946221817,36.6018117246788
168,69,72,94,90,79,120,79,43,72,43.71,-22.33,0.06,9.54,-54.27,-60.89,-3.23,-13.67,-17.18,-21.29,-0.48,-4.03,-28.07,-1.29,-6.06,-19.32,-0.67,-3.45,o,140.39009901213362,36.29219503348473
432,31,29,50,88,53,95,69,23,50,81,21.5,44.9,11.08,-27.97,-35.53,6.26,7.03,5.4,-19.95,-0.59,-3.93,-24.9,-1.1,-5.16,-20.47,-1.51,-3.99,d,140.03600334575611,36.10631365739371
504,71,91,124,90,79,110,80,37,66,42.19,-42.83,-30.43,6.66,-54.21,-50.33,-1.66,-7.17,-10.31,-20.96,-1.61,-5.84,-18.3,-1.19,-5.59,-18.24,-1.61,-4.43,d,139.96863263484113,36.0228135623938
460,49,25,48,90,50,91,77,25,56,64.75,25.67,47.59,10.25,-25.01,-31.36,-0.21,4.67,-0.85,-22.28,-1.2,-4.78,-27.8,-1.34,-5.77,-22.26,-1.91,-4.4,s,140.34201457126213,36.29970687337755
292,55,28,50,92,50,93,70,25,56,59.36,22.25,46.99,4.08,-24.33,-31.6,5.03,3.76,-1.15,-18.8,0.01,-1.88,-21.14,-0.7,-3.87,-16.79,-0.71,-3,s,140.49457024998335,36.23721492869673
409,59,72,98,91,85,125,118,47,87,52.8,-23.45,-6.63,2.72,-60.19,-66.95,-42.63,-17.62,-32.43,-19.91,-0.35,-3.3,-17.8,-1.12,-3.94,-17.2,-1.04,-2.96,o,140.25081661906825,36.544128612596005
23,68,28,54,110,50,98,95,27,64,40.75,22.88,43.75,-17.2,-23.37,-34.37,-29.05,1.39,-9.84,-14.24,-0.7,-3.01,-16.95,-0.94,-5.06,-7.59,0.24,-2.12,h,140.39118400147282,36.580138254564865
453,60,56,71,94,64,99,100,26,57,51.53,-7.78,21.52,0.44,-39.28,-40.28,-23.91,3.45,-2.09,-21.04,-1.85,-5.78,-17.65,-1.26,-4.78,-17.6,-1.67,-3.9,d,140.08102605380998,36.05588786374615
422,56,30,51,89,51,92,84,24,56,59.29,22.55,47.91,10.77,-25.69,-31.87,-6.4,6.11,-0.33,-20.89,-2.01,-5.27,-23.59,-1.11,-4.76,-20.18,-2.19,-4.57,s,139.92947800232315,36.039196253709385
